Year,File,n_categories,Unfold call idx,Unfold key,Unfold event type,Unfold object type,Unfold dt (s),Read time (s),Drilldown time (s)
2014,./data/BPIC14.jsonocel,2,1,"(Interaction,1)",Assignment,Interaction,1.6344593630055897,35.544744640006684,3.684638571983669
2014,./data/BPIC14.jsonocel,2,2,"(Interaction,2)",Assignment,Interaction,1.221971184015274,35.544744640006684,3.684638571983669
2016,./data/BPIC16.jsonocel,2,1,"(Session,1)",taken,Session,28.05941194400657,700.3129902749788,68.62774536095094
2016,./data/BPIC16.jsonocel,2,2,"(Session,2)",taken,Session,31.49663525802316,700.3129902749788,68.62774536095094
2017,./data/BPIC17.jsonocel,2,1,"(Offer,1)",O_Create Offer,Offer,1.5120156039483845,49.517025707056746,2.9457598839653656
2017,./data/BPIC17.jsonocel,2,2,"(Offer,2)",O_Create Offer,Offer,1.7974599640001543,49.517025707056746,2.9457598839653656
2019,./data/BPIC19.jsonocel,2,1,"(POItem,1)",Record Goods Receipt,POItem,3.00871664902661,81.25312736298656,7.9649594179936685
2019,./data/BPIC19.jsonocel,2,2,"(POItem,2)",Record Goods Receipt,POItem,3.4231431070365943,81.25312736298656,7.9649594179936685
2014,./data/BPIC14.jsonocel,3,1,"(Interaction,1)",Assignment,Interaction,1.5478567120153457,33.75857573002577,3.509592654008884
2014,./data/BPIC14.jsonocel,3,2,"(Interaction,2)",Assignment,Interaction,1.1317477590055205,33.75857573002577,3.509592654008884
2014,./data/BPIC14.jsonocel,3,3,"(Interaction,3)",Assignment,Interaction,1.1012214540387504,33.75857573002577,3.509592654008884
2016,./data/BPIC16.jsonocel,3,1,"(Session,1)",taken,Session,27.948904593999032,691.4550905699725,65.0226335269981
2016,./data/BPIC16.jsonocel,3,2,"(Session,2)",taken,Session,30.987926697009243,691.4550905699725,65.0226335269981
2016,./data/BPIC16.jsonocel,3,3,"(Session,3)",taken,Session,32.96978370397119,691.4550905699725,65.0226335269981
2017,./data/BPIC17.jsonocel,3,1,"(Offer,1)",O_Create Offer,Offer,1.2108867320348509,49.94086440495448,2.8755626479978673
2017,./data/BPIC17.jsonocel,3,2,"(Offer,2)",O_Create Offer,Offer,1.501454740006011,49.94086440495448,2.8755626479978673
2017,./data/BPIC17.jsonocel,3,3,"(Offer,3)",O_Create Offer,Offer,1.4500589559902437,49.94086440495448,2.8755626479978673
2019,./data/BPIC19.jsonocel,3,1,"(POItem,1)",Record Goods Receipt,POItem,2.515935677976813,80.17152308102231,8.102095954993274
2019,./data/BPIC19.jsonocel,3,2,"(POItem,2)",Record Goods Receipt,POItem,2.8915906110196374,80.17152308102231,8.102095954993274
2019,./data/BPIC19.jsonocel,3,3,"(POItem,3)",Record Goods Receipt,POItem,2.8538359309895895,80.17152308102231,8.102095954993274
2014,./data/BPIC14.jsonocel,4,1,"(Interaction,1)",Assignment,Interaction,1.377532803977374,34.299629123008344,3.524271653033793
2014,./data/BPIC14.jsonocel,4,2,"(Interaction,2)",Assignment,Interaction,1.3163326660287566,34.299629123008344,3.524271653033793
